авраам ABPAAM
авто ABTO
автомат ABTOMAT
автор ABTOP
азарт A3APT
акт AKT
актер AKTEP
анкета AHKETA
анна AHHA
антенна AHTEHHA
антон AHTOH
арена APEHA
арест APECT
арка APKA
аромат APOMAT
арт APT
артем APTEM
артур APTYP
атака ATAKA
атом ATOM
ваза BA3A
вакуум BAKYYM
ван BAH
ванна BAHHA
варвар BAPBAP
вверх BBEPX
ввс BBC
век BEK
веко BEKO
вектор BEKTOP
вена BEHA
венера BEHEPA
венок BEHOK
вера BEPA
веревка BEPEBKA
вернее BEPHEE
вернер BEPHEP
верно BEPHO
верста BEPCTA
верх BEPX
верхом BEPXOM
вес BEC
весна BECHA
ветер BETEP
ветеран BETEPAH
ветерок BETEPOK
ветка BETKA
взамен B3AMEH
взнос B3HOC
взор B3OP
вкус BKYC
вкусно BKYCHO
вместе BMECTE
вместо BMECTO
вне BHE
внук BHYK
вова BOBA
вовсе BOBCE
военно BOEHHO
воз BO3
возврат BO3BPAT
возраст BO3PACT
вон BOH
вор BOP
ворон BOPOH
ворона BOPOHA
ворота BOPOTA
восток BOCTOK
вот BOT
врата BPATA
все BCE
вскоре BCKOPE
вто BTO
втроем BTPOEM
вуз BY3
ева EBA
евро EBPO
завет 3ABET
завтра 3ABTPA
завтрак 3ABTPAK
заем 3AEM
заказ 3AKA3
закат 3AKAT
закон 3AKOH
закуска 3AKYCKA
зам 3AM
замена 3AMEHA
заметка 3AMETKA
заметно 3AMETHO
замок 3AMOK
занавес 3AHABEC
заново 3AHOBO
зао 3AO
зараза 3APA3A
заранее 3APAHEE
затем 3ATEM
зато 3ATO
затрата 3ATPATA
захаров 3AXAPOB
захват 3AXBAT
звено 3BEHO
звон 3BOH
звонок 3BOHOK
звук 3BYK
зерно 3EPHO
знак 3HAK
знаток 3HATOK
зов 3OB
зона 3OHA
кавказ KABKA3
казак KA3AK
казарма KA3APMA
казна KA3HA
как KAK
каков KAKOB
камера KAMEPA
канон KAHOH
кант KAHT
кара KAPA
караван KAPABAH
карета KAPETA
карман KAPMAH
карта KAPTA
касса KACCA
кассета KACCETA
катер KATEP
квота KBOTA
ковер KOBEP
кое KOE
коза KO3A
ком KOM
комар KOMAP
комната KOMHATA
конверт KOHBEPT
конек KOHEK
конкурс KOHKYPC
контакт KOHTAKT
контент KOHTEHT
контора KOHTOPA
контур KOHTYP
кора KOPA
корм KOPM
корма KOPMA
корова KOPOBA
корона KOPOHA
коротко KOPOTKO
коса KOCA
космос KOCMOC
костер KOCTEP
кот KOT
котенок KOTEHOK
кран KPAH
краска KPACKA
красота KPACOTA
кратко KPATKO
крах KPAX
крем KPEM
крест KPECT
кроме KPOME
крона KPOHA
круто KPYTO
кто KTO
кузов KY3OB
курорт KYPOPT
курс KYPC
курсант KYPCAHT
куртка KYPTKA
кусок KYCOK
куст KYCT
мак MAK
макс MAKC
мама MAMA
маневр MAHEBP
манер MAHEP
манера MAHEPA
мар MAP
марат MAPAT
марк MAPK
марка MAPKA
маркс MAPKC
марс MAPC
март MAPT
марта MAPTA
маска MACKA
масса MACCA
мастер MACTEP
мат MAT
матка MATKA
матрос MATPOC
мах MAX
менее MEHEE
мент MEHT
мера MEPA
мерка MEPKA
место MECTO
метр METP
метро METPO
мех MEX
момент MOMEHT
монарх MOHAPX
монах MOHAX
монета MOHETA
монстр MOHCTP
море MOPE
мороз MOPO3
морозов MOPO3OB
москва MOCKBA
мост MOCT
мотор MOTOP
мрак MPAK
муза MY3A
мука MYKA
мусор MYCOP
муха MYXA
наверно HABEPHO
наверх HABEPX
наверху HABEPXY
намек HAMEK
намерен HAMEPEH
нато HATO
натура HATYPA
наука HAYKA
наутро HAYTPO
нева HEBA
неверно HEBEPHO
невеста HEBECTA
некто HEKTO
нерв HEPB
нервно HEPBHO
нет HET
нету HETY
новое HOBOE
номер HOMEP
нора HOPA
норма HOPMA
нос HOC
носок HOCOK
нота HOTA
нрав HPAB
нтв HTB
оао OAO
озеро O3EPO
океан OKEAH
окно OKHO
око OKO
окраска OKPACKA
оксана OKCAHA
окурок OKYPOK
омск OMCK
она OHA
оно OHO
оон OOH
ооо OOO
оратор OPATOP
орех OPEX
оркестр OPKECTP
оскар OCKAP
осмотр OCMOTP
основа OCHOBA
остаток OCTATOK
остро OCTPO
остров OCTPOB
острота OCTPOTA
ответ OTBET
отказ OTKA3
отмена OTMEHA
отметка OTMETKA
ото OTO
отрезок OTPE3OK
отсек OTCEK
оттенок OTTEHOK
отто OTTO
охота OXOTA
охотно OXOTHO
охрана OXPAHA
равно PABHO
раз PA3
разве PA3BE
размах PA3MAX
размер PA3MEP
разом PA3OM
разум PA3YM
рак PAK
ракета PAKETA
рама PAMA
рамка PAMKA
ран PAH
рана PAHA
ранее PAHEE
рано PAHO
рао PAO
раса PACA
рассвет PACCBET
рассказ PACCKA3
раствор PACTBOP
реактор PEAKTOP
рев PEB
реестр PEECTP
резерв PE3EPB
резко PE3KO
река PEKA
ректор PEKTOP
ремонт PEMOHT
ресурс PECYPC
ровно POBHO
роза PO3A
рок POK
роман POMAH
романов POMAHOB
рон POH
роса POCA
рост POCT
ростов POCTOB
рот POT
рота POTA
рука PYKA
рукав PYKAB
русско PYCCKO
сам CAM
самара CAMAPA
самка CAMKA
сан CAH
санкт CAHKT
сара CAPA
саратов CAPATOB
сатана CATAHA
сахар CAXAP
сахаров CAXAPOB
сверх CBEPX
сверху CBEPXY
свет CBET
света CBETA
светка CBETKA
свое CBOE
сеанс CEAHC
север CEBEP
северо CEBEPO
сезон CE3OH
секрет CEKPET
секс CEKC
секта CEKTA
сектор CEKTOP
семен CEMEH
семенов CEMEHOB
сен CEH
сенат CEHAT
сенатор CEHATOP
сено CEHO
сент CEHT
сервер CEPBEP
сестра CECTPA
сетка CETKA
сказка CKA3KA
скорее CKOPEE
скоро CKOPO
скот CKOT
скромно CKPOMHO
скука CKYKA
смена CMEHA
смех CMEX
смутно CMYTHO
снова CHOBA
сова COBA
совет COBET
совсем COBCEM
совхоз COBXO3
сок COK
сон COH
сорок COPOK
сорт COPT
сосна COCHA
сосок COCOK
состав COCTAB
соус COYC
сразу CPA3Y
срок CPOK
ссора CCOPA
ссср CCCP
ставка CTABKA
стакан CTAKAH
стан CTAH
станок CTAHOK
старт CTAPT
старуха CTAPYXA
стас CTAC
статус CTATYC
стена CTEHA
стенка CTEHKA
сто CTO
стон CTOH
сторона CTOPOHA
стр CTP
страна CTPAHA
странно CTPAHHO
страх CTPAX
стресс CTPECC
строка CTPOKA
струна CTPYHA
стук CTYK
суворов CYBOPOB
суета CYETA
сука CYKA
сумка CYMKA
сумма CYMMA
сурово CYPOBO
сустав CYCTAB
сухо CYXO
схватка CXBATKA
схема CXEMA
таз TA3
так TAK
таков TAKOB
такт TAKT
там TAM
тамара TAMAPA
танк TAHK
таракан TAPAKAH
театр TEATP
текст TEKCT
тем TEM
тема TEMA
темно TEMHO
темнота TEMHOTA
теракт TEPAKT
терраса TEPPACA
террор TEPPOP
тесно TECHO
тест TECT
тесто TECTO
тетка TETKA
товар TOBAP
ток TOK
том TOM
томас TOMAC
тон TOH
тонко TOHKO
тонна TOHHA
тора TOPA
тормоз TOPMO3
торт TOPT
тоска TOCKA
тост TOCT
тот TOT
трава TPABA
травка TPABKA
травма TPABMA
трактат TPAKTAT
