абонент A6OHEHT
аборт A6OPT
абсурд A6CYPD
авраам ABPAAM
авто ABTO
автобус ABTO6YC
автомат ABTOMAT
автор ABTOP
адам ADAM
адвокат ADBOKAT
адрес ADPEC
адресат ADPECAT
азарт A3APT
акт AKT
актер AKTEP
актив AKTNB
активно AKTNBHO
актриса AKTPNCA
америка AMEPNKA
андреев AHDPEEB
анекдот AHEKDOT
анкета AHKETA
анна AHHA
антенна AHTEHHA
антон AHTOH
араб APA6
арбуз AP6Y3
арена APEHA
аренда APEHDA
арест APECT
арка APKA
аромат APOMAT
арт APT
артем APTEM
артист APTNCT
артур APTYP
архив APXNB
атака ATAKA
атеист ATENCT
атом ATOM
атрибут ATPN6YT
баба 6A6A
бабка 6A6KA
бабочка 6A6O4KA
бабушка 6A6YWKA
база 6A3A
базар 6A3AP
бак 6AK
бакс 6AKC
баку 6AKY
банан 6AHAH
банда 6AHDA
бандит 6AHDNT
банк 6AHK
банка 6AHKA
банкир 6AHKNP
бар 6AP
барабан 6APA6AH
барак 6APAK
баран 6APAH
барин 6APNH
бармен 6APMEH
барон 6APOH
бас 6AC
башка 6AWKA
беда 6EDA
бедро 6EDPO
без 6E3
бездна 6E3DHA
безо 6E3O
безумие 6E3YMNE
безумно 6E3YMHO
бен 6EH
бензин 6EH3NH
береза 6EPE3A
бес 6EC
беседа 6ECEDA
бизнес 6N3HEC
бит 6NT
битва 6NTBA
боб 6O6
бодро 6ODPO
боевик 6OEBNK
бок 6OK
бокс 6OKC
боксер 6OKCEP
бомба 6OM6A
бонус 6OHYC
бор 6OP
борис 6OPNC
борисов 6OPNCOB
борода 6OPODA
борт 6OPT
босс 6OCC
ботинок 6OTNHOK
бочка 6O4KA
брак 6PAK
брат 6PAT
браузер 6PAY3EP
браун 6PAYH
бревно 6PEBHO
бред 6PED
бренд 6PEHD
брести 6PECTN
бросок 6POCOK
будда 6YDDA
будка 6YDKA
будни 6YDHN
будто 6YDTO
буква 6YKBA
букет 6YKET
бум 6YM
бунт 6YHT
бунтман 6YHTMAH
бухта 6YXTA
буш 6YW
вадим BADNM
ваза BA3A
вакуум BAKYYM
ван BAH
ванна BAHHA
варвар BAPBAP
вариант BAPNAHT
варшава BAPWABA
ваш BAW
вверх BBEPX
ввести BBECTN
ввиду BBNDY
ввод BBOD
ввс BBC
вдвое BDBOE
вдвоем BDBOEM
вдова BDOBA
вдох BDOX
веба BE6A
ведение BEDEHNE
ведро BEDPO
везде BE3DE
везти BE3TN
век BEK
веко BEKO
вектор BEKTOP
вена BEHA
венера BEHEPA
венок BEHOK
вера BEPA
веранда BEPAHDA
веревка BEPEBKA
вернее BEPHEE
вернер BEPHEP
верно BEPHO
верста BEPCTA
верх BEPX
верхом BEPXOM
вершина BEPWNHA
вес BEC
весна BECHA
вести BECTN
вестник BECTHNK
ветер BETEP
ветеран BETEPAH
ветерок BETEPOK
ветка BETKA
вечер BE4EP
вечно BE4HO
взамен B3AMEH
взвод B3BOD
вздох B3DOX
взнос B3HOC
взор B3OP
вид BND
видение BNDEHNE
видео BNDEO
видимо BNDNMO
видно BNDHO
виза BN3A
визит BN3NT
вика BNKA
виктор BNKTOP
вина BNHA
винни BNHHN
вино BNHO
винт BNHT
вирус BNPYC
виски BNCKN
висок BNCOK
витамин BNTAMNH
витрина BNTPNHA
вич BN4
вкус BKYC
вкусно BKYCHO
вместе BMECTE
вместо BMECTO
вне BHE
внести BHECTN
внешне BHEWHE
вниз BHN3
внизу BHN3Y
внук BHYK
внутри BHYTPN
внучка BHY4KA
вова BOBA
вовочка BOBO4KA
вовсе BOBCE
вода BODA
водка BODKA
военно BOEHHO
воз BO3
возврат BO3BPAT
воздух BO3DYX
возраст BO3PACT
воин BONH
вон BOH
вор BOP
ворон BOPOH
